STATION,DATE,TEMP,MAX,MIN,Celsius
RPM00098646,2018-02-17,78.44,85.10,,26
RPM00098646,2018-02-18,81.14,87.08,73.40,27
RPM00098646,2018-02-19,81.32,87.80,75.38,27
RPM00098646,2018-02-20,82.04,87.98,75.92,28
RPM00098646,2018-02-21,82.76,88.70,,28
RPM00098646,2018-02-22,82.04,87.80,75.38,28
RPM00098646,2018-02-23,83.48,89.60,78.44,29
RPM00098646,2018-02-24,80.78,86.18,,27
RPM00098646,2018-02-25,79.88,86.00,,27
RPM00098646,2018-02-26,81.86,88.34,75.92,28
RPM00098646,2018-02-27,81.50,87.98,75.92,28
RPM00098646,2018-02-28,81.86,,76.10,28
RPM00098646,2018-03-01,82.58,88.52,,28
RPM00098646,2018-03-02,82.40,88.88,76.28,28
RPM00098646,2018-03-03,83.12,89.96,76.64,28
RPM00098646,2018-03-04,81.68,88.88,,28
RPM00098646,2018-03-05,82.76,89.60,75.92,28
RPM00098646,2018-03-06,83.48,90.32,76.46,29
RPM00098646,2018-03-07,83.48,89.96,,29
RPM00098646,2018-03-08,83.12,91.40,,28
RPM00098646,2018-03-09,81.86,89.96,,28
RPM00098646,2018-03-10,82.04,,75.56,28
RPM00098646,2018-03-11,78.62,86.72,,26
RPM00098646,2018-03-12,78.62,82.94,74.66,26
RPM00098646,2018-03-13,78.62,83.66,,26
RPM00098646,2018-03-14,82.04,86.90,75.02,28
RPM00098646,2018-03-15,81.14,87.80,,27
RPM00098646,2018-03-16,82.94,87.98,77.90,28
RPM00098646,2018-03-17,84.02,90.32,78.26,29
RPM00098646,2018-03-18,82.22,87.80,,28
RPM00098646,2018-03-19,81.86,,,28
RPM00098646,2018-03-20,82.76,89.60,75.56,28
RPM00098646,2018-03-21,81.68,89.24,,28
RPM00098646,2018-03-22,81.68,,,28
RPM00098646,2018-03-23,82.58,88.88,75.56,28
RPM00098646,2018-03-24,82.22,89.06,78.26,28
RPM00098646,2018-03-25,81.32,87.98,,27
RPM00098646,2018-03-26,80.96,88.52,,27
RPM00098646,2018-03-27,80.96,88.88,,27
RPM00098646,2018-03-28,81.68,88.70,73.76,28
RPM00098646,2018-03-29,81.14,88.88,,27
RPM00098646,2018-03-30,81.32,87.80,74.48,27
RPM00098646,2018-03-31,82.40,89.60,76.64,28
RPM00098646,2018-04-01,80.78,88.16,,27
RPM00098646,2018-04-02,82.76,89.42,74.12,28
RPM00098646,2018-04-03,82.94,89.60,76.82,28
RPM00098646,2018-04-04,82.58,90.14,,28
RPM00098646,2018-04-05,82.04,87.98,74.48,28
RPM00098646,2018-04-06,82.04,88.34,,28
RPM00098646,2018-04-07,81.14,88.88,77.00,27
RPM00098646,2018-04-08,80.60,84.38,76.64,27
RPM00098646,2018-04-09,83.12,89.78,77.36,28
RPM00098646,2018-04-10,83.84,90.32,77.90,29
RPM00098646,2018-04-11,83.84,,78.80,29
RPM00098646,2018-04-12,84.38,89.78,78.80,29
RPM00098646,2018-04-13,84.02,89.96,,29
RPM00098646,2018-04-14,84.20,90.68,,29
RPM00098646,2018-04-15,84.38,89.60,,29
RPM00098646,2018-04-16,83.84,89.24,77.18,29
RPM00098646,2018-04-17,84.38,90.50,78.26,29
RPM00098646,2018-04-18,84.38,90.68,78.44,29
RPM00098646,2018-04-19,84.38,,78.26,29
RPM00098646,2018-04-20,83.84,89.60,80.60,29
RPM00098646,2018-04-21,83.66,,,29
RPM00098646,2018-04-22,84.38,,78.08,29
RPM00098646,2018-04-23,85.64,91.94,78.44,30
RPM00098646,2018-04-24,85.28,92.12,78.26,30
RPM00098646,2018-04-25,83.30,91.94,,28
RPM00098646,2018-04-26,84.20,89.78,77.72,29
RPM00098646,2018-04-27,84.38,90.14,,29
RPM00098646,2018-04-28,84.56,91.40,,29
RPM00098646,2018-04-29,85.28,91.58,78.44,30
RPM00098646,2018-04-30,85.28,92.12,80.24,30
RPM00098646,2018-05-01,86.18,91.76,79.52,30
RPM00098646,2018-05-02,85.10,93.02,,29
RPM00098646,2018-05-03,78.98,84.56,,26
RPM00098646,2018-05-04,82.40,88.88,,28
RPM00098646,2018-05-05,83.66,90.50,75.56,29
RPM00098646,2018-05-06,84.92,91.40,78.62,29
RPM00098646,2018-05-07,84.02,92.48,,29
RPM00098646,2018-05-08,84.02,92.48,76.64,29
RPM00098646,2018-05-09,84.74,91.40,77.54,29
RPM00098646,2018-05-10,84.92,92.84,78.08,29
RPM00098646,2018-05-11,85.46,91.76,76.28,30
RPM00098646,2018-05-12,85.46,93.02,78.98,30
RPM00098646,2018-05-13,84.38,92.84,,29
RPM00098646,2018-05-14,86.18,94.10,78.08,30
RPM00098646,2018-05-15,87.26,93.92,81.14,31
RPM00098646,2018-05-16,86.18,93.74,,30
RPM00098646,2018-05-17,85.46,92.66,,30
RPM00098646,2018-05-18,84.38,93.38,,29
RPM00098646,2018-05-19,84.56,91.76,78.44,29
RPM00098646,2018-05-20,84.38,91.22,78.80,29
RPM00098646,2018-05-21,84.38,92.30,79.16,29
RPM00098646,2018-05-22,85.28,92.84,78.44,30
RPM00098646,2018-05-23,85.64,92.66,80.06,30
RPM00098646,2018-05-24,86.72,91.94,79.70,30
RPM00098646,2018-05-25,83.48,92.48,,29
RPM00098646,2018-05-26,86.36,93.20,78.26,30
RPM00098646,2018-05-27,87.08,92.30,80.60,31
RPM00098646,2018-05-28,86.72,93.02,81.32,30
RPM00098646,2018-05-29,86.18,90.32,,30
RPM00098646,2018-05-30,83.48,90.68,,29
RPM00098646,2018-05-31,84.20,91.40,,29
RPM00098646,2018-06-01,83.84,90.68,77.18,29
RPM00098646,2018-06-02,78.98,,,26
RPM00098646,2018-06-03,83.84,90.14,72.86,29
RPM00098646,2018-06-04,84.56,90.50,,29
RPM00098646,2018-06-05,81.86,87.80,77.72,28
RPM00098646,2018-06-06,83.30,89.60,78.98,28
RPM00098646,2018-06-07,85.28,90.86,79.52,30
RPM00098646,2018-06-08,84.92,,,29
RPM00098646,2018-06-09,85.64,92.30,80.24,30
RPM00098646,2018-06-10,85.28,89.06,81.68,30
